;;;;;
case;angle_of_attack;inlet_vel;moment;lift_force;drag_force
DP 1;0;0.5;0.095577084;1.7297798;0.13290508
DP 2;0;1;0.39210583;7.1287949;0.47981466
DP 3;0;1.5;0.88799374;16.14106;1.0270593
DP 4;0;2;1.5849711;28.835566;1.7518742
DP 5;0;2.5;2.4881101;45.295873;2.6362037
DP 6;0;3;3.5950224;65.460966;3.6620698
DP 7;0;3.5;4.9056875;89.353102;4.8297234
DP 8;0;4;6.4140963;116.8393;6.1312831
DP 9;0;4.5;8.1210831;147.9307;7.5657267
DP 10;0;5;10.028142;182.65365;9.1409409
DP 11;0;5.5;12.134013;220.98351;10.846333
DP 12;0;6;14.436424;262.8558;12.688304
DP 13;0;6.5;16.936084;308.29807;14.657375
DP 14;0;7;19.626099;357.1665;16.774505
DP 15;0;7.5;22.507893;409.52577;19.011457
DP 16;0;8;25.586193;465.45811;21.423615
DP 1;0.5;0.5;0.10032648;1.8925371;0.15528708
DP 2;0.5;1;0.41147791;7.7838452;0.57129119
DP 3;0.5;1.5;0.93121503;17.619937;1.2340462
DP 4;0.5;2;1.6633552;31.495605;2.1142752
DP 5;0.5;2.5;2.610597;49.443584;3.2032721
DP 6;0.5;3;3.7689116;71.384867;4.4938378
DP 7;0.5;3.5;5.1387168;97.35365;5.9839619
DP 8;0.5;4;6.7163644;127.25823;7.6570368
DP 9;0.5;4.5;8.5038927;161.12723;9.5070589
DP 10;0.5;5;10.500973;198.95664;11.541785
DP 11;0.5;5.5;12.706244;240.7163;13.754545
DP 12;0.5;6;15.116534;286.33405;16.1462
DP 13;0.5;6.5;17.731254;335.80273;18.713263
DP 14;0.5;7;20.549446;389.09992;21.468947
DP 15;0.5;7.5;23.569729;446.21081;24.427813
DP 16;0.5;8;26.79855;507.27856;27.592725
DP 1;1;0.5;0.10514492;2.0550696;0.18099726
DP 2;1;1;0.43065162;8.4337665;0.67691008
DP 3;1;1.5;0.97416917;19.080292;1.4728433
DP 4;1;2;1.739605;34.091763;2.5414424
DP 5;1;2.5;2.729976;53.507311;3.8729977
DP 6;1;3;3.9407603;77.237702;5.458755
DP 7;1;3.5;5.3725195;105.31995;7.2989595
DP 8;1;4;7.0201619;137.6369;9.3758525
DP 9;1;4.5;8.8871368;174.24736;11.687427
DP 10;1;5;10.97344;215.14746;14.235754
DP 11;1;5.5;13.277203;260.296;17.018029
DP 12;1;6;15.793654;309.59473;20.030494
DP 13;1;6.5;18.527209;363.13045;23.272349
DP 14;1;7;21.473649;420.81817;26.755312
DP 15;1;7.5;24.631336;482.63822;30.499005
DP 16;1;8;28.007758;548.77227;34.459682
DP 1;1.5;0.5;0.10998682;2.2179051;0.21030955
DP 2;1.5;1;0.44999317;9.0861894;0.79680248
DP 3;1.5;1.5;1.0175492;20.546584;1.7435998
DP 4;1.5;2;1.8167793;36.701203;3.0254372
DP 5;1.5;2.5;2.8502484;57.581013;4.6316239
DP 6;1.5;3;4.1133993;83.096955;6.5516983
DP 7;1.5;3.5;5.6065112;113.27826;8.7870736
DP 8;1.5;4;7.3235174;147.99153;11.317836
DP 9;1.5;4.5;9.2685414;187.31165;14.145856
DP 10;1.5;5;11.442462;231.24639;17.270202
DP 11;1.5;5.5;13.844002;279.76524;20.689409
DP 12;1.5;6;16.471405;332.83165;24.400184
DP 13;1.5;6.5;19.324865;390.4446;28.40979
