Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-n6409-il-1000000-n5
Airfoil,n6409-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,144.335
Max Cl/Cd alpha,4.75
Url,http://airfoiltools.com/polar/csv?polar=xf-n6409-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-10.000,-0.3661,0.02071,0.01778,-0.1548,0.9288,0.0094
-9.750,-0.3453,0.01893,0.01579,-0.1552,0.9219,0.0097
-9.500,-0.3211,0.01770,0.01437,-0.1557,0.9158,0.0100
-9.250,-0.2974,0.01669,0.01318,-0.1557,0.9091,0.0104
-9.000,-0.2729,0.01577,0.01207,-0.1558,0.9013,0.0107
-8.750,-0.2483,0.01505,0.01118,-0.1556,0.8927,0.0109
-8.500,-0.2246,0.01404,0.00997,-0.1555,0.8833,0.0112
-8.250,-0.1997,0.01342,0.00922,-0.1553,0.8737,0.0116
-8.000,-0.1739,0.01296,0.00866,-0.1551,0.8658,0.0119
-7.750,-0.1481,0.01254,0.00813,-0.1549,0.8581,0.0122
-7.500,-0.1220,0.01211,0.00759,-0.1547,0.8514,0.0126
-7.250,-0.0959,0.01173,0.00710,-0.1545,0.8439,0.0130
-7.000,-0.0698,0.01134,0.00659,-0.1542,0.8364,0.0134
-6.750,-0.0435,0.01104,0.00618,-0.1540,0.8282,0.0138
-6.500,-0.0171,0.01073,0.00575,-0.1538,0.8205,0.0141
-6.250,0.0087,0.01027,0.00516,-0.1535,0.8125,0.0145
-6.000,0.0348,0.00985,0.00464,-0.1532,0.8041,0.0150
-5.750,0.0611,0.00959,0.00430,-0.1529,0.7952,0.0155
-5.500,0.0876,0.00938,0.00401,-0.1526,0.7856,0.0161
-5.250,0.1142,0.00918,0.00373,-0.1523,0.7768,0.0166
-5.000,0.1405,0.00896,0.00342,-0.1520,0.7676,0.0170
-4.750,0.1672,0.00877,0.00314,-0.1517,0.7578,0.0175
-4.500,0.1936,0.00861,0.00289,-0.1514,0.7475,0.0179
