;;;;;;
angle_of_attack;inlet_vel;moment;lift_force;drag_force;drag_coefficient;lift_coefficient
5;7;0;1182.1;116.69;0.07574;0.76724
4.5;7;0;1131.44;108.41;0.07036;0.73436
4;7;0;1080.6;100.62;0.06531;0.70136
3.5;7;0;1029.47;93.273;0.06054;0.66817
3;7;0;978.09;86.514;0.05615;0.63483
2.5;7;0;926.13;80.238;0.05208;0.6011
2;7;0;874.06;74.523;0.04837;0.56731
1.5;7;0;821.53;69.309;0.04498;0.53321
1;7;0;768.71;64.598;0.04193;0.49893
0.5;7;0;715.59;60.34;0.03916;0.46445
0;7;0;657.13;57.459;0.03729;0.4265
-0.5;7;0;608.22;53.23;0.03455;0.39477
-1;7;0;554.45;50.314;0.03266;0.35986
-1.5;7;0;500.79;47.81;0.03103;0.32504
-2;7;0;447.3;45.721;0.02968;0.29032
-2.5;7;0;393.46;44.065;0.0286;0.25537
-3;7;0;340.14;42.82;0.02779;0.22076
-3.5;7;0;286.4;42.036;0.02728;0.18589
-4;7;0;233.05;41.67;0.02704;0.15126
-4.5;7;0;180.05;41.745;0.02709;0.11687
-5;7;0;127.08;42.256;0.02743;0.08248
