;;;;;;
angle_of_attack;inlet_vel;moment;drag_force;lift_force;lift_coefficient;drag_coefficient
-4;6;3.15;5.55;38.95;0;0
-2;6;4.6;4.9;90.03;0;0
0;6;6.22;6.88;145.39;0;0
2;6;7.24;7.68;186.36;0;0
4;6;8.48;9.98;232.46;0;0
6;6;9.63;12.87;276.36;0;0
8;6;10.66;16.33;316.75;0;0
-4;8;5.67;9.64;71.097;0;0
-2;8;8.29;8.46;162.62;0;0
0;8;11.04;11.83;258.01;0;0
2;8;12.99;13.5;334.132;0;0
4;8;15.18;17.64;415.96;0;0
6;8;17.25;22.8;494.42;0;0
8;8;19.14;28.94;568.06;0;0
-4;10;9.2;12.32;118.21;0;0
-2;10;13.05;12.96;256.33;0;0
0;10;17.25;17.97;403.09;0;0
2;10;20.4;21;524.68;0;0
4;10;23.87;27.44;653.71;0;0
6;10;27.16;35.48;777.81;0;0
8;10;30.14;45.05;894.04;0;0
-4;12;13.38;17.19;172.97;0;0
-3;12;16.17;17.21;273.04;0;0
-2;12;18.92;18.33;372.32;0;0
-1;12;21.64;20.29;470.68;0;0
0;12;24.88;25.22;581.22;0;0
