;;;;;;
angle_of_attack;inlet_vel;moment;lift_force;drag_force;lift_coefficient;drag_coefficient
0;0.5;0.085133577;1.528257;0.14230223;0;0
0;1;0.35544544;6.4261667;0.4932399;0;0
0;1.5;0.80788866;14.625801;1.0218472;0;0
0;2;1.4332253;25.941838;1.7222729;0;0
0;2.5;2.2351752;40.46038;2.5948819;0;0
0;3;3.2170706;58.246759;3.6334167;0;0
0;3.5;4.3719207;79.152263;4.8228719;0;0
0;4;5.6893338;102.98509;6.1493596;0;0
0;4.5;7.1899195;130.13568;7.6163434;0;0
0;5;8.8705956;160.55587;9.2225586;0;0
0;5.5;10.73275;194.28004;10.965412;0;0
0;6;12.783356;231.43787;12.844256;0;0
0;6.5;15.024458;272.06506;14.868518;0;0
0;7;17.453006;316.10961;17.022062;0;0
0;7.5;20.070536;363.59631;19.318921;0;0
0;8;22.868273;414.35977;21.75112;0;0
0.5;0.5;0.090752235;1.7128052;0.16303161;0;0
0.5;1;0.37528179;7.1123888;0.58056109;0;0
0.5;1.5;0.85185986;16.168164;1.2173736;0;0
0.5;2;1.5163421;28.788315;2.0695974;0;0
0.5;2.5;2.3700994;45.00492;3.1337545;0;0
0.5;3;3.4067568;64.694128;4.3978925;0;0
0.5;3.5;4.621834;87.771296;5.8473215;0;0
0.5;4;6.0239876;114.40507;7.4807799;0;0
0.5;4.5;7.6186106;144.70401;9.2971024;0;0
0.5;5;9.4080723;178.71105;11.300183;0;0
0.5;5.5;11.388837;216.36569;13.481406;0;0
0.5;6;13.566594;257.77612;15.844175;0;0
0.5;6.5;15.938185;302.88418;18.385321;0;0
0.5;7;18.511341;351.83316;21.106709;0;0
0.5;7.5;21.280827;404.52434;24.010489;0;0
0.5;8;24.249099;461.01036;27.077484;0;0
1;0.5;0.095973272;1.8902563;0.1856144;0;0
1;1;0.39852288;7.873739;0.67422381;0;0
1;1.5;0.90483195;17.890153;1.4300024;0;0
1;2;1.6041165;31.715803;2.4457396;0;0
1;2.5;2.5017293;49.471537;3.7227691;0;0
1;3;3.5996192;71.198438;5.2558915;0;0
1;3.5;4.885508;96.650246;7.0226247;0;0
1;4;6.3628418;125.88928;9.0171536;0;0
1;4.5;8.044576;159.17086;11.245756;0;0
1;5;9.9321291;196.53491;13.703891;0;0
1;5.5;12.018146;237.85215;16.387297;0;0
1;6;14.314903;283.34387;19.310292;0;0
1;6.5;16.812497;332.83268;22.451004;0;0
1;7;19.525034;386.57611;25.839231;0;0
1;7.5;22.446089;444.45759;29.451687;0;0
1;8;25.572663;506.41674;33.289676;0;0
1.5;0.5;0.10147822;2.0728718;0.21290115;0;0
1.5;1;0.4209134;8.6166387;0.78606415;0;0
1.5;1.5;0.95366127;19.526793;1.685225;0;0
1.5;2;1.6892679;34.592116;2.8974051;0;0
1.5;2.5;2.6333709;53.939119;4.4266457;0;0
1.5;3;3.7874229;77.599862;6.2663475;0;0
