;;;;;;
inlet_vel;angle_of_attack;lift_force;drag_force;moment;lift_coefficient;drag_coefficient
0.5;0;1.528257;0.14230223;0.085133577;0;0
1;0;6.4261667;0.4932399;0.35544544;0;0
1.5;0;14.625801;1.0218472;0.80788866;0;0
2;0;25.941838;1.7222729;1.4332253;0;0
2.5;0;40.46038;2.5948819;2.2351752;0;0
3;0;58.246759;3.6334167;3.2170706;0;0
3.5;0;79.152263;4.8228719;4.3719207;0;0
4;0;102.98509;6.1493596;5.6893338;0;0
4.5;0;130.13568;7.6163434;7.1899195;0;0
5;0;160.55587;9.2225586;8.8705956;0;0
5.5;0;194.28004;10.965412;10.73275;0;0
6;0;231.43787;12.844256;12.783356;0;0
6.5;0;272.06506;14.868518;15.024458;0;0
7;0;316.10961;17.022062;17.453006;0;0
7.5;0;363.59631;19.318921;20.070536;0;0
8;0;414.35977;21.75112;22.868273;0;0
0.5;0.5;1.711578;0.1481011;0.090752235;0;0
1;0.5;7.1081343;0.51855145;0.37528179;0;0
1.5;0.5;16.159386;1.0763991;0.85185986;0;0
2;0.5;28.773541;1.8185734;1.5163421;0;0
2.5;0.5;44.98271;2.7413157;2.3700994;0;0
3;0.5;64.663135;3.8337533;3.4067568;0;0
3.5;0.5;87.730288;5.0819335;4.621834;0;0
4;0.5;114.35285;6.4831225;6.0239876;0;0
4.5;0.5;144.63939;8.0352076;7.6186106;0;0
5;0.5;178.63284;9.7417082;9.4080723;0;0
5.5;0.5;216.27274;11.594535;11.388837;0;0
6;0.5;257.66729;13.59615;13.566594;0;0
6.5;0.5;302.75832;15.74389;15.938185;0;0
7;0.5;351.68913;18.038368;18.511341;0;0
7.5;0.5;404.36099;20.482598;21.280827;0;0
8;0.5;460.8267;23.056941;24.249099;0;0
0.5;1;1.8878791;0.15268962;0.095973272;0;0
1;1;7.8655645;0.53703258;0.39852288;0;0
1.5;1;17.873359;1.1182396;0.90483195;0;0
2;1;31.687591;1.8930032;1.6041165;0;0
2.5;1;49.429142;2.8605473;2.5017293;0;0
3;1;71.139202;4.0149527;3.5996192;0;0
3.5;1;96.571793;5.3380275;4.885508;0;0
4;1;125.78936;6.8228658;6.3628418;0;0
4.5;1;159.04724;8.4712895;8.044576;0;0
5;1;196.38545;10.278058;9.9321291;0;0
5.5;1;237.67471;12.241166;12.018146;0;0
6;1;283.13618;14.371073;14.314903;0;0
6.5;1;332.59277;16.648996;16.812497;0;0
7;1;386.3016;19.100247;19.525034;0;0
7.5;1;444.14646;21.703568;22.446089;0;0
8;1;506.06691;24.461316;25.572663;0;0
0.5;1.5;2.0694245;0.15878434;0.10147822;0;0
1;1.5;8.6049019;0.56100632;0.4209134;0;0
1.5;1.5;19.502716;1.1751061;0.95366127;0;0
2;1.5;34.551769;1.9936285;1.6892679;0;0
2.5;1.5;53.878598;3.0173024;2.6333709;0;0
3;1.5;77.515469;4.2386815;3.7874229;0;0
3.5;1.5;105.18005;5.638797;5.1373042;0;0
4;1.5;137.03021;7.2146236;6.6916328;0;0
4.5;1.5;173.23908;8.9639447;8.458582;0;0
5;1.5;213.96557;10.888918;10.446086;0;0
5.5;1.5;259.07661;12.98585;12.646693;0;0
6;1.5;308.63435;15.250386;15.063751;0;0
6.5;1.5;362.71394;17.692911;17.701324;0;0
7;1.5;421.28026;20.305673;20.557409;0;0
7.5;1.5;484.23969;23.082424;23.627089;0;0
8;1.5;551.79952;26.038151;26.921518;0;0
0.5;2;2.2499501;0.16580697;0.10695364;0;0
1;2;9.3157795;0.5906851;0.4421885;0;0
1.5;2;21.108567;1.2380002;1.0014062;0;0
2;2;37.389367;2.1046353;1.7731462;0;0
2.5;2;58.287599;3.1896395;2.7630708;0;0
3;2;83.841484;4.4847519;3.9729157;0;0
3.5;2;113.78178;5.9705733;5.3892236;0;0
4;2;148.35968;7.6489064;7.0257312;0;0
4.5;2;187.69119;9.5167863;8.8875462;0;0
5;2;231.73247;11.566316;10.971166;0;0
5.5;2;280.61488;13.805764;13.283654;0;0
6;2;334.28206;16.225074;15.821976;0;0
6.5;2;392.79505;18.836555;18.589412;0;0
7;2;456.15432;21.625489;21.585585;0;0
7.5;2;524.40298;24.599823;24.813196;0;0
8;2;597.54271;27.753757;28.27271;0;0
0.5;2.5;2.4291907;0.17327013;0.1123435;0;0
1;2.5;10.041826;0.61973803;0.46393427;0;0
1.5;2.5;22.716265;1.3046061;1.0490798;0;0
2;2.5;40.212557;2.2231648;1.8561317;0;0
2.5;2.5;62.692828;3.3748577;2.892275;0;0
3;2.5;90.110252;4.7473825;4.1549303;0;0
3.5;2.5;122.33979;6.3270796;5.6385058;0;0
4;2.5;159.5192;8.1121741;7.3502744;0;0
4.5;2.5;201.81621;10.099329;9.2978894;0;0
5;2.5;249.29401;12.286422;11.484027;0;0
5.5;2.5;301.92651;14.673652;13.906881;0;0
6;2.5;359.75835;17.260992;16.568967;0;0
6.5;2.5;422.81916;20.052524;19.471919;0;0
7;2.5;490.97118;23.032632;22.608197;0;0
7.5;2.5;564.48063;26.211102;25.992407;0;0
8;2.5;643.20465;29.593791;29.616177;0;0
0.5;3;2.6055076;0.18166373;0.11760522;0;0
1;3;10.758575;0.6519544;0.48527424;0;0
1.5;3;24.303484;1.3777113;1.0958681;0;0
2;3;43.001378;2.3538732;1.9377116;0;0
2.5;3;67.055016;3.5797289;3.0198721;0;0
3;3;96.390633;5.0402547;4.3384848;0;0
3.5;3;130.83274;6.7201573;5.8854084;0;0
4;3;170.58757;8.6210139;7.6713748;0;0
4.5;3;215.88861;10.744192;9.7073777;0;0
5;3;266.73465;13.084007;11.992573;0;0
5.5;3;323.06551;15.634943;14.523514;0;0
6;3;384.85456;18.400056;17.298853;0;0
6.5;3;452.32822;21.380124;20.329958;0;0
7;3;525.32508;24.582912;23.610046;0;0
7.5;3;603.92079;27.992475;27.141077;0;0
8;3;688.16838;31.61441;30.92687;0;0
0.5;3.5;2.7834206;0.19055071;0.12293345;0;0
1;3.5;11.467964;0.68772776;0.50631741;0;0
1.5;3.5;25.874423;1.4577519;1.1418747;0;0
2;3.5;45.76251;2.4960992;2.0178738;0;0
2.5;3.5;71.336524;3.8010559;3.1433541;0;0
3;3.5;102.48425;5.352516;4.5124223;0;0
3.5;3.5;139.1152;7.1406261;6.1216633;0;0
4;3.5;181.49513;9.1693313;7.9846735;0;0
4.5;3.5;229.76955;11.438015;10.107567;0;0
5;3.5;283.94758;13.942625;12.489955;0;0
5.5;3.5;343.95382;16.673263;15.127949;0;0
6;3.5;409.81122;19.635917;18.022412;0;0
6.5;3.5;481.56328;22.829761;21.175792;0;0
7;3.5;559.28469;26.246385;24.592754;0;0
7.5;3.5;643.1094;29.906533;28.27922;0;0
8;3.5;732.91482;33.793485;32.229165;0;0
0.5;4;2.9621482;0.20069143;0.12835886;0;0
1;4;12.198009;0.72812925;0.5286159;0;0
1.5;4;27.529985;1.5507923;1.1927939;0;0
2;4;48.782022;2.6688459;2.1127451;0;0
2.5;4;76.028217;4.0685062;3.2900819;0;0
3;4;108.83276;5.7113961;4.7012246;0;0
3.5;4;147.6912;7.62064;6.3750249;0;0
4;4;192.70949;9.7913476;8.3159588;0;0
4.5;4;243.99775;12.222244;10.528223;0;0
5;4;301.54736;14.907857;13.010405;0;0
5.5;4;365.33427;17.847675;15.760978;0;0
6;4;435.41176;21.03076;18.783756;0;0
6.5;4;511.83527;24.472856;22.080425;0;0
7;4;594.86401;28.184587;25.664866;0;0
7.5;4;684.49932;32.153238;29.538407;0;0
8;4;780.71975;36.383359;33.699775;0;0
0.5;4.5;3.1364696;0.21101674;0.13352391;0;0
1;4.5;12.877876;0.77157848;0.54838032;0;0
1.5;4.5;29.067911;1.6452601;1.2373998;0;0
2;4.5;51.48942;2.8367237;2.190641;0;0
2.5;4.5;80.234992;4.3268801;3.4105245;0;0
3;4.5;114.8852;6.0764848;4.874428;0;0
3.5;4.5;155.90258;8.1095632;6.6092664;0;0
4;4.5;203.48431;10.426902;8.6241809;0;0
4.5;4.5;257.6667;13.027147;10.919128;0;0
5;4.5;318.45021;15.896243;13.493926;0;0
5.5;4.5;385.93498;19.047171;16.352993;0;0
6;4.5;460.04488;22.459573;19.493757;0;0
6.5;4.5;540.94052;26.155245;22.923403;0;0
7;4.5;628.78855;30.134941;26.651498;0;0
7.5;4.5;723.56612;34.398252;30.676685;0;0
8;4.5;825.30528;38.956936;34.999554;0;0
0.5;5;3.3071548;0.22235394;0.13853948;0;0
1;5;13.570308;0.81399779;0.56857321;0;0
1.5;5;30.559908;1.744263;1.2797196;0;0
2;5;54.096811;3.0119119;2.263544;0;0
2.5;5;84.273919;4.593311;3.5224435;0;0
3;5;120.69763;6.4522239;5.0353254;0;0
3.5;5;163.90762;8.6214191;6.8334266;0;0
4;5;214.03985;11.097265;8.921972;0;0
4.5;5;271.13473;13.873299;11.301303;0;0
5;5;335.19136;16.948296;13.970418;0;0
5.5;5;406.20245;20.31051;16.930051;0;0
6;5;484.32387;23.978582;20.186784;0;0
6.5;5;569.69737;27.95054;23.749335;0;0
7;5;662.32572;32.224265;27.618081;0;0
7.5;5;762.18358;36.79536;31.792387;0;0
