;;;;;;
angle_of_attack;inlet_vel;moment;drag_force;lift_force;lift_coefficient;drag_coefficient
0;0.5;0.095577084;0.13290508;1.7297798;0;0
0;1;0.39210583;0.47981466;7.1287949;0;0
0;1.5;0.88799374;1.0270593;16.14106;0;0
0;2;1.5849711;1.7518742;28.835566;0;0
0;2.5;2.4881101;2.6362037;45.295873;0;0
0;3;3.5950224;3.6620698;65.460966;0;0
0;3.5;4.9056875;4.8297234;89.353102;0;0
0;4;6.4140963;6.1312831;116.8393;0;0
0;4.5;8.1210831;7.5657267;147.9307;0;0
0;5;10.028142;9.1409409;182.65365;0;0
0;5.5;12.134013;10.846333;220.98351;0;0
0;6;14.436424;12.688304;262.8558;0;0
0;6.5;16.936084;14.657375;308.29807;0;0
0;7;19.626099;16.774505;357.1665;0;0
0;7.5;22.507893;19.011457;409.52577;0;0
0;8;25.586193;21.423615;465.45811;0;0
0.5;0.5;0.10032648;0.13878701;1.8913979;0;0
0.5;1;0.41147791;0.50342011;7.7797483;0;0
0.5;1.5;0.93121503;1.0804028;17.611179;0;0
0.5;2;1.6633552;1.8396274;31.48075;0;0
0.5;2.5;2.610597;2.7721011;49.421275;0;0
0.5;3;3.7689116;3.8713137;71.353801;0;0
0.5;3.5;5.1387168;5.1349561;97.312545;0;0
0.5;4;6.7163644;6.5472189;127.20594;0;0
0.5;4.5;8.5038927;8.1018484;161.06266;0;0
0.5;5;10.500973;9.8066367;198.87864;0;0
0.5;5.5;12.706244;11.655177;240.62376;0;0
0.5;6;15.116534;13.64896;286.22584;0;0
0.5;6.5;17.731254;15.78456;335.67777;0;0
0.5;7;20.549446;18.075388;388.957;0;0
0.5;7.5;23.569729;20.536137;446.04859;0;0
0.5;8;26.79855;23.168419;507.09569;0;0
1;0.5;0.10514492;0.14519223;2.0528483;0;0
1;1;0.43065162;0.52994029;8.4258011;0;0
1;1.5;0.97416917;1.1403167;19.063295;0;0
1;2;1.739605;1.9472582;34.062966;0;0
1;2.5;2.729976;2.9403677;53.464138;0;0
1;3;3.9407603;4.1124451;77.177685;0;0
1;3.5;5.3725195;5.4630891;105.24064;0;0
1;4;7.0201619;6.9765793;137.53609;0;0
1;4.5;8.8871368;8.6498806;174.12292;0;0
1;5;10.97344;10.485132;214.99722;0;0
1;5.5;13.277203;12.480249;260.11781;0;0
1;6;15.793654;14.633184;309.38646;0;0
1;6.5;18.527209;16.941625;362.89005;0;0
1;7;21.473649;19.418777;420.54332;0;0
1;7.5;24.631336;22.084615;482.32625;0;0
1;8;28.007758;24.8922;548.42137;0;0
1.5;0.5;0.10998682;0.15238834;2.2146749;0;0
1.5;1;0.44999317;0.55944743;9.0746545;0;0
1.5;1.5;1.0175492;1.2068093;20.522026;0;0
1.5;2;1.8167793;2.066507;36.65967;0;0
1.5;2.5;2.8502484;3.127027;57.518867;0;0
1.5;3;4.1133993;4.3802314;83.01074;0;0
1.5;3.5;5.6065112;5.8267687;113.16451;0;0
1.5;4;7.3235174;7.450201;147.84717;0;0
1.5;4.5;9.2685414;9.2504385;187.13363;0;0
1.5;5;11.442462;11.226345;231.03168;0;0
1.5;5.5;13.844002;13.377252;279.51084;0;0
1.5;6;16.471405;15.700823;332.5346;0;0
1.5;6.5;19.324865;18.204355;390.10174;0;0
1.5;7;22.400559;20.878438;452.14733;0;0
1.5;7.5;25.697848;23.755819;518.66103;0;0
1.5;8;29.217702;26.825049;589.69023;0;0
2;0.5;0.11466099;0.16035732;2.3730822;0;0
2;1;0.46853563;0.59110679;9.7084983;0;0
2;1.5;1.0589457;1.2773798;21.944524;0;0
2;2;1.8900026;2.1926422;39.183951;0;0
2;2.5;2.9648935;3.3254226;61.471917;0;0
2;3;4.2786219;4.6666669;88.710914;0;0
2;3.5;5.8314966;6.2169725;120.93046;0;0
2;4;7.6181898;7.9592213;158.00868;0;0
2;4.5;9.6425269;9.8963048;200.01881;0;0
2;5;11.904247;12.023594;246.94611;0;0
2;5.5;14.401408;14.33938;298.74603;0;0
2;6;17.13439;16.846172;355.42244;0;0
2;6.5;20.101878;19.545659;416.94937;0;0
2;7;23.301073;22.446933;483.27259;0;0
2;7.5;26.735023;25.537812;554.47141;0;0
2;8;30.39928;28.862535;630.46756;0;0
2.5;0.5;0.11940851;0.16889345;2.5332671;0;0
2.5;1;0.48738194;0.62554878;10.348218;0;0
2.5;1.5;1.1010764;1.3542983;23.380134;0;0
2.5;2;1.9645893;2.3303846;41.732;0;0
2.5;2.5;3.080948;3.5420697;65.447526;0;0
2.5;3;4.4455149;4.9782077;94.437629;0;0
2.5;3.5;6.057846;6.6388027;128.71363;0;0
2.5;4;7.9127986;8.5071615;168.15768;0;0
2.5;4.5;10.016015;10.588672;212.88088;0;0
2.5;5;12.36504;12.877009;262.82418;0;0
2.5;5.5;14.959728;15.370588;317.97618;0;0
2.5;6;17.79947;18.070564;378.32499;0;0
2.5;6.5;20.882063;20.982543;443.82331;0;0
2.5;7;24.205841;24.106089;514.44574;0;0
2.5;7.5;27.775135;27.464113;590.28601;0;0
2.5;8;31.583008;31.039717;671.23485;0;0
3;0.5;0.12406488;0.17828764;2.6910989;0;0
3;1;0.50589239;0.66262704;10.980225;0;0
3;1.5;1.1424626;1.4368814;24.79907;0;0
3;2;2.0378159;2.4784283;44.249974;0;0
3;2.5;3.1951037;3.774789;69.38065;0;0
3;3;4.6101773;5.3129435;100.11277;0;0
3;3.5;6.2812983;7.0917194;136.42924;0;0
3;4;8.2042511;9.0950098;178.23143;0;0
3;4.5;10.384852;11.329601;225.63392;0;0
3;5;12.821752;13.791353;278.59782;0;0
3;5.5;15.512788;16.474952;337.07323;0;0
