;;;;;;
angle_of_attack;inlet_vel;moment;lift_force;drag_force;lift_coefficient;drag_coefficient
-2;0.5;0.046248693;0.40521007;0.084951902;0;0
-2;1;0.20812427;2.010354;0.26398912;0;0
-2;1.5;0.48966186;4.8761906;0.52384777;0;0
-2;2;0.88507511;8.9043122;0.87018662;0;0
-2;2.5;1.3879285;13.984319;1.3019712;0;0
-2;3;2.0005095;20.150146;1.8003723;0;0
-2;3.5;2.7355785;27.625966;2.3237345;0;0
-2;4;3.598472;36.498735;2.8795165;0;0
-2;4.5;4.5746938;46.505264;3.4864003;0;0
-2;5;5.6575217;57.541482;4.1407721;0;0
-2;5.5;6.8567497;69.774929;4.8359309;0;0
-2;6;8.1870288;83.450008;5.5617731;0;0
-2;6.5;9.6465157;98.549281;6.3011357;0;0
-2;7;11.209751;114.63684;7.0495167;0;0
-2;7.5;12.857638;131.38376;7.8143972;0;0
-2;8;14.597388;148.9424;8.6032526;0;0
-1.5;0.5;0.051881731;0.56504972;0.085249108;0;0
-1.5;1;0.23049114;2.6478497;0.27094172;0;0
-1.5;1.5;0.53976499;6.3077946;0.54383839;0;0
-1.5;2;0.97354834;11.438855;0.90869556;0;0
-1.5;2.5;1.5252833;17.928967;1.36329;0;0
-1.5;3;2.1980875;25.826542;1.8887113;0;0
-1.5;3.5;3.0044367;35.353234;2.4444305;0;0
-1.5;4;3.9497565;46.590861;3.0383018;0;0
-1.5;4.5;5.0195139;59.277467;3.6848081;0;0
-1.5;5;6.2058844;73.288005;4.3795363;0;0
-1.5;5.5;7.5209482;88.837111;5.1179389;0;0
-1.5;6;8.9811547;106.21157;5.8934071;0;0
-1.5;6.5;10.570194;125.11519;6.7013052;0;0
-1.5;7;12.274194;145.34196;7.5276885;0;0
-1.5;7.5;14.07816;166.63604;8.3717406;0;0
-1.5;8;15.975621;188.85951;9.2495494;0;0
-1;0.5;0.057459446;0.72363661;0.089308035;0;0
-1;1;0.25286475;3.2859659;0.29151449;0;0
-1;1.5;0.58988562;7.7409167;0.59427475;0;0
-1;2;1.0621145;13.977474;1.0012237;0;0
-1;2.5;1.6628999;21.882164;1.508868;0;0
-1;3;2.3957046;31.509472;2.0984606;0;0
-1;3.5;3.2733404;43.09014;2.7318734;0;0
-1;4;4.3010872;56.702465;3.4175363;0;0
-1;4.5;5.4639597;72.073622;4.1658544;0;0
-1;5;6.7550896;89.092946;4.9701837;0;0
-1;5.5;8.1882827;108.01027;5.8273954;0;0
-1;6;9.7736977;128.99553;6.7373751;0;0
-1;6.5;11.498876;151.83388;7.691238;0;0
-1;7;13.344405;176.20214;8.6771811;0;0
-1;7.5;15.299813;201.94325;9.6916435;0;0
-1;8;17.369033;229.13277;10.744535;0;0
-0.5;0.5;0.063066967;0.88304397;0.09658402;0;0
-0.5;1;0.27523032;3.9237143;0.32562455;0;0
-0.5;2;1.1504013;16.50987;1.1476465;;
-0.5;2.5;1.8000438;25.824831;1.7383854;;
-0.5;3;2.5928188;37.180847;2.4288074;;
-0.5;3.5;3.5410522;50.801878;3.1838149;;
-0.5;4;4.6506601;66.779207;4.0124079;;
-0.5;4.5;5.905253;84.807426;4.9220047;;
-0.5;5;7.2995622;104.80905;5.9035316;;
-0.5;5.5;8.8484478;127.05488;6.9561273;;
-0.5;6;10.56102;151.69666;8.081531;;
-0.5;6.5;12.421671;178.45698;9.2693509;;
-0.5;7;14.413488;207.06429;10.505445;;
-0.5;7.5;16.52505;237.34043;11.786047;;
-0.5;8;18.761213;269.37853;13.119788;;
0;0.5;0.068580616;1.0405244;0.10730607;;
0;1;0.29741977;4.5583172;0.37274714;;
0;1.5;0.68952554;10.594997;0.78511692;;
0;2;1.2378715;19.027043;1.3458282;;
0;2.5;1.9360807;29.74694;2.0484781;;
0;3;2.7879758;42.815771;2.8748714;;
0;3.5;3.806942;58.480098;3.7935533;;
0;4;4.9966287;76.787033;4.8136565;;
0;4.5;6.3424131;97.466082;5.9389607;;
0;5;7.8396381;120.44861;7.1602677;;
0;5.5;9.5027465;145.99894;8.4789698;;
0;6;11.338294;174.22304;9.8973211;;
0;6.5;13.33292;204.8884;11.402637;;
0;7;15.468336;237.68638;12.979559;;
0;7.5;17.751244;272.82381;14.620089;;
0;8;20.139929;309.4088;16.340373;;
0.5;0.5;0.074179161;1.1995325;0.12138459;;
0.5;1;0.31983395;5.1967145;0.4336178;;
0.5;1.5;0.73962468;12.026757;0.92593196;;
0.5;2;1.326092;21.557755;1.5982045;;
0.5;2.5;2.0732447;33.689532;2.4428023;;
0.5;3;2.984771;48.481335;3.4415288;;
0.5;3.5;4.0744367;66.186925;4.5674393;;
0.5;4;5.3472642;86.885849;5.829281;;
0.5;4.5;6.7819562;110.16805;7.2263541;;
0.5;5;8.3812493;136.11272;8.7514745;;
0.5;5.5;10.162374;165.04645;10.408751;;
0.5;6;12.118488;196.80027;12.198646;;
0.5;6.5;14.245564;231.33764;14.106657;;
0.5;7;16.526417;268.36801;16.116739;;
0.5;7.5;18.949696;307.71606;18.221462;;
0.5;8;21.5365;349.81507;20.430548;;
1;0.5;0.079703679;1.3571793;0.13871336;;
1;1;0.34196264;5.8299164;0.50738108;;
1;1.5;0.789054;13.44575;1.0957757;;
1;2;1.4132753;24.068396;1.9017581;;
1;2.5;2.2089661;37.603848;2.9166856;;
1;3;3.1796232;54.108193;4.1224349;;
1;3.5;4.3394988;73.845677;5.4968948;;
1;4;5.6903521;96.831009;7.0473063;;
1;4.5;7.2165485;122.77138;8.7703263;;
1;5;8.917163;151.66519;10.660136;;
1;5.5;10.806947;183.78915;12.723293;;
1;6;12.888385;219.17987;14.959264;;
1;6.5;15.149157;257.62208;17.350676;;
1;7;17.581335;299.01616;19.881703;;
1;7.5;20.154204;342.76698;22.539339;;
1;8;22.894559;389.43089;25.337007;;
1.5;0.5;0.085182475;1.5138135;0.15940167;;
1.5;1;0.36402672;6.461059;0.59449715;;
1.5;1.5;0.83838522;14.861112;1.2954645;;
1.5;2;1.5002199;26.571091;2.258032;;
1.5;2.5;2.344021;41.499701;3.472497;;
1.5;3;3.3730408;59.699671;4.9206798;;
1.5;3.5;4.6025433;81.454558;6.5863598;;
1.5;4;6.032755;106.75242;8.4749491;;
1.5;4.5;7.6471376;135.28402;10.579085;;
1.5;5;9.4480574;167.10664;12.897039;;
1.5;5.5;11.449253;202.47895;15.437341;;
1.5;6;13.64987;241.38052;18.193898;;
1.5;6.5;16.038171;283.60155;21.147385;;
1.5;7;18.60339;328.96646;24.281747;;
1.5;7.5;21.335048;377.31496;27.58693;;
1.5;8;24.238059;428.73613;31.071512;;
2;0.5;0.09070594;1.6712893;0.18337942;;
2;1;0.38598482;7.0902067;0.69447159;;
2;1.5;0.88734005;16.270739;1.5235425;;
2;2;1.5861758;29.058608;2.6641512;;
2;2.5;2.4770746;45.364344;4.1054655;;
2;3;3.5631227;65.238123;5.8296694;;
2;3.5;4.8600309;88.97367;7.8270468;;
2;4;6.3663877;116.53062;10.100801;;
2;4.5;8.0645876;147.58006;12.638523;;
2;5;9.9604871;182.24031;15.442838;;
2;5.5;12.068824;220.78919;18.524523;;
2;6;14.386054;263.16045;21.871715;;
2;6.5;16.900568;309.14549;25.461923;;
2;7;19.600466;358.54077;29.278116;;
2;7.5;22.480841;411.2985;33.314529;;
2;8;25.543197;467.4331;37.577935;;
2.5;0.5;0.096165538;1.8275506;0.2107377;;
2.5;1;0.4078728;7.7184326;0.80759137;;
2.5;1.5;0.93600211;17.674179;1.7811901;;
2.5;2;1.6713919;31.530641;3.1222821;;
2.5;2.5;2.6090646;49.206317;4.8197789;;
2.5;3;3.7508629;70.729535;6.8554712;;
2.5;3.5;5.1129819;96.404998;9.2279595;;
2.5;4;6.692135;126.16045;11.93551;;
2.5;4.5;8.4718496;159.68464;14.960437;;
2.5;5;10.463237;197.19272;18.313247;;
2.5;5.5;12.678766;238.91641;22.001965;;
2.5;6;15.11061;284.71592;26.006549;;
2.5;6.5;17.745803;334.35523;30.302994;;
2.5;7;20.578759;387.75281;34.880439;;
2.5;7.5;23.603872;444.83299;39.735858;;
