;;;;;;
angle_of_attack;inlet_vel;lift_force;drag_force;moment;lift_coefficient;drag_coefficient
-2;0.5;0.40892412;0.099283628;0.046248693;0;0
-2;1;2.023271;0.33480421;0.20812427;0;0
-2;1.5;4.9034467;0.69539921;0.48966186;0;0
-2;2;8.9510614;1.183295;0.88507511;0;0
-2;2.5;14.055477;1.7935929;1.3879285;0;0
-2;3;20.250031;2.5086164;2.0005095;0;0
-2;3.5;27.757851;3.2944764;2.7355785;0;0
-2;4;36.666312;4.1616875;3.598472;0;0
-2;4.5;46.712397;5.1197583;4.5746938;0;0
-2;5;57.791718;6.1614274;5.6575217;0;0
-2;5.5;70.071887;7.2858428;6.8567497;0;0
-2;6;83.797402;8.491433;8.1870288;0;0
-2;6.5;98.950192;9.7603934;9.6465157;0;0
-2;7;115.09339;11.072964;11.209751;0;0
-2;7.5;131.89774;12.425131;12.857638;0;0
-2;8;149.51613;13.829715;14.597388;0;0
-1.5;0.5;0.56786589;0.10014842;0.051881731;0;0
-1.5;1;2.657677;0.34062832;0.23049114;0;0
-1.5;1.5;6.3285422;0.70974352;0.53976499;0;0
-1.5;2;11.474448;1.209476;0.97354834;0;0
-1.5;2.5;17.983155;1.8346628;1.5252833;0;0
-1.5;3;25.902631;2.567643;2.1980875;0;0
-1.5;3.5;35.453695;3.3736561;3.0044367;0;0
-1.5;4;46.718455;4.2627091;3.9497565;0;0
-1.5;4.5;59.435065;5.2424331;5.0195139;0;0
-1.5;5;73.478234;6.3051328;6.2058844;0;0
-1.5;5.5;89.062698;7.4518821;7.5209482;0;0
-1.5;6;106.47536;8.6835828;8.9811547;0;0
-1.5;6.5;125.41962;9.9878307;10.570194;0;0
-1.5;7;145.68887;11.345266;12.274194;0;0
-1.5;7.5;167.02699;12.748366;14.07816;0;0
-1.5;8;189.29634;14.209619;15.975621;0;0
-1;0.5;0.72552701;0.10198576;0.057459446;0;0
-1;1;3.2925588;0.34903073;0.25286475;0;0
-1;1.5;7.7548333;0.72972639;0.58988562;0;0
-1;2;14.001348;1.2457706;1.0621145;0;0
-1;2.5;21.918517;1.891687;1.6628999;0;0
-1;3;31.560522;2.6496713;2.3957046;0;0
-1;3.5;43.157546;3.4856073;3.2733404;0;0
-1;4;56.788067;4.4092962;4.3010872;0;0
-1;4.5;72.179318;5.4263837;5.4639597;0;0
-1;5;89.220469;6.5282898;6.7550896;0;0
-1;5.5;108.16141;7.7162475;8.1882827;0;0
-1;6;129.17216;8.9931098;9.7736977;0;0
-1;6.5;152.03761;10.346236;11.498876;0;0
-1;7;176.43422;11.758174;13.344405;0;0
-1;7.5;202.20481;13.222618;15.299813;0;0
-1;8;229.42514;14.750803;17.369033;0;0
-0.5;0.5;0.88398783;0.10430214;0.063066967;0;0
-0.5;1;3.9270046;0.35990739;0.27523032;0;0
-0.5;2;16.521773;1.2918736;1.1504013;0;0
-0.5;2.5;25.842954;1.9639797;1.8000438;0;0
-0.5;3;37.206293;2.7535943;2.5928188;0;0
-0.5;3.5;50.83547;3.6275705;3.5410522;0;0
-0.5;4;66.821856;4.5957062;4.6506601;0;0
-0.5;4.5;84.860073;5.6627547;5.905253;0;0
-0.5;5;104.87255;6.8189653;7.2995622;0;0
-0.5;5.5;127.1301;8.0658398;8.8484478;0;0
-0.5;6;151.78453;9.4064422;10.56102;0;0
-0.5;6.5;178.55827;10.827958;12.421671;0;0
-0.5;7;207.17964;12.313874;14.413488;0;0
-0.5;7.5;237.47041;13.858868;16.52505;0;0
-0.5;8;269.52381;15.472386;18.761213;0;0
0;0.5;1.0405244;0.10730607;0.068580616;0;0
0;1;4.5583172;0.37274714;0.29741977;0;0
0;1.5;10.594997;0.78511692;0.68952554;0;0
0;2;19.027043;1.3458282;1.2378715;0;0
0;2.5;29.74694;2.0484781;1.9360807;0;0
0;3;42.815771;2.8748714;2.7879758;0;0
0;3.5;58.480098;3.7935533;3.806942;0;0
0;4;76.787033;4.8136565;4.9966287;0;0
0;4.5;97.466082;5.9389607;6.3424131;0;0
0;5;120.44861;7.1602677;7.8396381;0;0
0;5.5;145.99894;8.4789698;9.5027465;0;0
0;6;174.22304;9.8973211;11.338294;0;0
0;6.5;204.8884;11.402637;13.33292;0;0
0;7;237.68638;12.979559;15.468336;0;0
0;7.5;272.82381;14.620089;17.751244;0;0
0;8;309.4088;16.340373;20.139929;0;0
0.5;0.5;1.1986101;0.11092911;0.074179161;0;0
0.5;1;5.1935236;0.38831111;0.31983395;0;0
