;;;;;
inlet_vel;angle_of_attack;lift_force;drag_force;drag_force_pylon;drag_force_mocowanie
4;0;81.71853;8.2665273;3.4301986;2.5313962
4.5;0;104.86768;;4.2556076;3.2493371
5;0;130.42121;12.736378;5.2264137;4.0100005
5.5;0;158.62904;15.326019;6.2982241;4.8485302
6;0;189.70584;18.12414;7.4764088;5.7657531
6.5;0;223.64108;21.133391;8.7620479;6.7629069
7;0;260.39994;24.367106;10.147096;7.8421846
7.5;0;299.87771;27.865129;11.627926;9.0009095
8;0;342.1344;31.602797;13.208912;10.238692
8.5;0;387.17552;35.577943;14.888974;11.555944
9;0;434.9967;39.787879;16.668817;12.952679
9.5;0;485.58514;44.237844;18.548657;14.428827
10;0;538.94985;48.923299;20.528741;15.984178
4;1;108.14055;9.6591109;3.6541961;2.7961409
4.5;1;137.12668;12.109724;4.5852048;3.5042381
5;1;169.60868;14.83957;5.6192002;4.294882
5.5;1;205.74192;17.857895;6.7569346;5.1711742
6;1;245.3603;21.153286;7.9964211;6.1259317
6.5;1;288.39859;24.705553;9.3407561;7.1627706
7;1;335.06133;28.549824;10.792615;8.2786514
7.5;1;385.3468;32.701811;12.347334;9.4746466
8;1;439.22597;37.123705;14.013456;10.760645
8.5;1;496.50975;41.777516;15.785697;12.121012
9;1;557.52918;46.71517;17.651913;13.561056
9.5;1;621.65914;51.90239;19.634745;15.084187
10;1;689.5706;57.280307;21.736802;16.686903
4;2;126.01043;10.903738;3.7047192;2.8072205
4.5;2;159.64739;13.689955;4.6556642;3.5220633
5;2;197.38878;16.79885;5.7081597;4.3167727
5.5;2;239.30882;20.244768;6.8695486;5.194073
6;2;285.22954;24.019793;8.1293281;6.1546881
6.5;2;335.2191;28.11463;9.4913542;7.1940464
7;2;389.34018;32.56204;10.961524;8.3221569
7.5;2;447.8469;37.327391;12.536906;9.5200956
8;2;510.19619;42.388088;14.260162;10.802439
8.5;2;576.81303;47.738226;16.025072;12.174097
9;2;647.19427;53.396277;17.941779;13.61729
9.5;2;721.81029;59.305637;19.936509;15.151278
10;2;800.50135;65.547959;22.049467;16.76328
4;3;7.3011057;0.010125514;3.6741267;2.5807543
4.5;3;9.2501856;0.012708551;4.6325096;3.2391094
5;3;11.435115;0.015546575;5.7047721;3.9624547
5.5;3;13.863737;0.018749361;6.5808992;4.7787694
6;3;16.524952;0.02217475;8.1705337;5.6518202
6.5;3;19.413455;0.025888823;9.3857962;6.5984494
7;3;22.552358;0.029989229;10.758085;7.6435462
7.5;3;25.931181;0.034207096;13.250437;8.718581
8;3;29.533695;0.03890143;12.573664;9.9150557
8.5;3;33.37583;0.043840019;15.300374;11.173785
9;3;37.457575;0.049037091;18.040978;12.498396
9.5;3;41.761138;0.054574029;19.961257;13.909631
10;3;46.301527;0.060330397;22.226428;15.376793
4;5;8.1002787;;3.4489349;
4,5;5;10.295678;;4.3376718;
5;5;12.756013;;5.3266149;
5,5;5;15.481476;;6.4160076;
6;5;18.472586;;7.6060728;
6,5;5;21.728679;;8.8975517;
7;5;25.250022;;10.291059;
7,5;5;29.035203;;11.786314;
8;5;33.08461;;13.38329;
8,5;5;37.400705;;15.081659;
9;5;41.979273;;16.881331;
9,5;5;46.821837;;18.783386;
10;5;51.929695;;20.78
