;;;;;;
inlet_vel;angle_of_attack;lift_force;drag_force;drag_force_pylon;drag_force_mocowanie;drag_force_gondola
5;0;115.22236;7.4297325;5.6524652;3.9712292;13.335681
5.5;0;140.02979;8.8833924;6.7079591;4.8043967;16.076288
6;0;167.24035;10.474253;7.8403336;5.7045821;19.072432
6.5;0;197.30463;12.181707;9.0389683;6.6652345;22.251308
7;0;229.88517;14.022464;10.312175;7.6888569;25.691546
7.5;0;263.4185;16.088538;11.656827;8.6718782;29.318008
8;0;298.41498;18.280348;13.073265;9.7629249;32.973065
8.5;0;331.36276;20.529672;14.552321;10.865552;36.467693
9;0;371.39041;22.793808;16.120136;12.150295;40.561601
9.5;0;414.55953;25.183821;17.753195;13.520005;44.955187
10;0;460.51107;27.690935;19.438711;14.970693;49.518277
