;;;;;
inlet_vel;angle_of_attack;lift_force;drag_force;drag_force_pylon;drag_force_mocowanie
4;-3;57.137752;5.4317055;2.5806786;0.012024986
4.5;-3;72.430759;6.6481739;3.1701584;0.014629687
5;-3;89.300488;7.9519673;3.8094067;0.017395389
5.5;-3;107.94746;9.3448959;4.5023728;0.020348477
6;-3;128.59731;10.834496;5.2536338;0.023374886
6.5;-3;151.16123;12.422307;6.0643266;0.026420882
7;-3;175.53546;14.105111;6.9313787;0.02959657
7.5;-3;201.69665;15.881956;7.8499461;0.032954805
8;-3;229.6967;17.759739;8.8238872;0.036416012
8.5;-3;259.61048;19.746668;9.8608168;0.039823407
9;-3;291.41203;21.847064;10.96047;0.042937566
9.5;-3;324.96645;24.062187;12.120073;0.045271598
10;-3;360.19462;26.388986;13.336539;0.046236456
4.5;-2;99.248066;6.9368199;3.075378;0.01917908
5;-2;122.21823;8.3409363;3.6990794;0.02270361
5.5;-2;147.61033;9.8531836;4.3759896;0.026739193
6;-2;175.7489;11.488402;5.1101939;0.031023511
6.5;-2;206.45127;13.241653;5.9026347;0.035310187
7;-2;239.58497;15.106977;6.7502254;0.039577316
7.5;-2;275.14968;17.08529;7.6493047;0.044106024
8;-2;313.23221;19.187094;8.6034538;0.049097264
8.5;-2;353.82052;21.420809;9.617822;0.054173876
9;-2;396.78627;23.790466;10.692909;0.058287154
9.5;-2;441.84782;26.300382;11.825821;0.058726953
10;-2;488.53397;28.970751;13.015444;0.047788749
4;0;120.6538;6.6346034;2.3726139;0.026990531
5;0;187.5989;10.020389;3.4891565;0.039040449
5.5;0;226.51493;11.92813;4.1194354;0.046225965
6;0;269.58241;14.00224;4.8026583;0.053640914
6.5;0;316.48911;16.227418;5.5397597;0.060762157
7;0;359.8234;18.940956;6.3618184;-0.017192077
7.5;0;410.70942;21.611794;7.2041912;-0.032728325
8;0;466.75965;24.40523;8.0973746;-0.041393226
8.5;0;526.86379;27.368918;9.0471788;-0.049521728
9;0;590.72415;30.511849;10.054935;-0.058434686
9.5;0;658.11395;33.836358;11.119153;-0.068756102
10;0;728.98683;37.335769;12.236883;-0.080383139
4;1;142.07552;7.4843832;2.306528;0.034123725
4.5;1;179.61153;9.3503987;2.8244346;0.041171686
5.5;1;267.33159;13.587977;3.9954576;0.058090739
6;1;318.08338;15.996335;4.6566466;0.065692312
6.5;1;363.01837;19.018387;5.4210169;-0.025169712
7;1;418.67576;21.92443;6.1989604;-0.037006899
7.5;1;479.67818;24.988202;7.0200689;-0.045790617
8;1;545.49242;28.246882;7.8898797;-0.054068165
8.5;1;615.81217;31.713295;8.814064;-0.062923725
9;1;690.53871;35.400206;9.7978589;-0.071198759
9.5;1;769.95234;39.323604;10.85154;-0.078886446
10;1;852.3606;43.357873;11.91262;-0.09441675
4;2;162.21112;8.5008135;2.2371167;0.042315287
4.5;2;204.87726;10.633863;2.7369691;0.050661448
5;2;252.06119;12.96737;3.2799563;0.059152742
6;2;351.21862;18.720442;4.5683064;-0.021045414
6.5;2;410.31976;21.854692;5.2789957;-0.030279671
7;2;474.37704;25.197259;6.0395325;-0.03808409
7.5;2;543.7845;28.75431;6.8423362;-0.045169225
8;2;618.53062;32.541247;7.6929163;-0.051825752
8.5;2;698.59758;36.499691;8.571721;-0.060943642
9;2;784.27283;40.862689;9.5675197;-0.062726352
9.5;2;873.47274;45.352117;10.564646;-0.071408856
10;2;966.72759;50.00157;11.584081;-0.088686826
4;3;182.34863;9.7359427;2.1600201;0.048862858
4.5;3;223.98434;12.396529;2.6798119;-0.004198468
5;3;273.50556;15.180302;3.209451;-0.011068837
5.5;3;330.2329;18.209275;3.7818033;-0.015602922
6.5;3;459.40358;25.214456;5.1124737;-0.023539548
7;3;531.52478;29.043067;5.8295585;-0.030192446
7.5;3;609.48722;33.133708;6.5881935;-0.036754712
8;3;693.19875;37.505715;7.3930817;-0.044558536
8.5;3;782.76476;42.201857;8.2667029;-0.050077503
9;3;877.4433;47.155889;9.1815936;-0.057411076
9.5;3;977.44304;52.40261;10.152499;-0.064140988
10;3;1082.8021;57.918605;11.170242;-0.071403035
4;5;219.92893;13.101906;2.5875489;0.078287692
4.5;5;278.73574;16.481945;3.1628373;0.098582938
5;5;344.75963;20.217718;3.7723925;0.12135841
5.5;5;418.11417;24.288365;4.4094453;0.14621802
6;5;498.66607;28.652283;5.0838578;0.17303176
6.5;5;586.2409;33.326686;5.7829092;0.20190508
7;5;680.85828;38.327076;6.5098151;0.23321193
7.5;5;782.61747;43.691489;7.2920921;0.26693905
8;5;891.56827;49.425491;8.1338231;0.30333963
8.5;5;1007.6697;55.518858;9.0317697;0.34197045
9;5;1130.8699;61.97181;9.9781317;0.38225018
9.5;5;1261.1665;68.765124;10.970697;0.42473038
10;5;1398.6006;75.89301;12.005517;0.46959174
